output,rate,cases,pd_better_count,pd_better_share,median_pd_over_baseline,min_pd_over_baseline,max_pd_over_baseline
16,20,16,11,0.6875,0.962587,0.829954,1.39524
16,50,16,9,0.5625,0.986362,0.860187,1.86225
16,100,16,4,0.25,1.01188,0.714401,1.22416
64,20,16,16,1,0.917451,0.752889,0.976384
64,50,16,10,0.625,0.879242,0.71193,1.14331
64,100,16,6,0.375,1.00652,0.671381,1.4515
256,20,16,16,1,0.941273,0.793048,0.965425
256,50,16,10,0.625,0.933769,0.778732,1.46018
256,100,16,8,0.5,1.00108,0.774195,1.94245
